address,city,state,zipCode,lat,lon,rooms,squareFeet,price,shortest distance to public trans,shortest distance to whole foods,shortest distance to parks
"10 Innes Ct #303 Plan, The San Francisco Shipyard   Landing",San Francisco,CA,94124,37.7273,-122.371,3,1223,975000,1.144481563,1.640038372,0.256249295
5750 Kingsley Cir,Oakland,CA,94605,37.772986,-122.190841,2,619,399000,1.162382413,1.83820374,0.300814372
649 Spokane Ave,Albany,CA,94706,37.895883,-122.293486,2,1171,699000,0.553589064,2.122083429,0.160069005
320 Vallejo Dr APT 9,Millbrae,CA,94030,37.584339,-122.40456,2,995,750000,1.166154947,2.129960622,0.397301047
1519 Encinal Ave,Alameda,CA,94501,37.769983,-122.260526,0,3862,1500000,1.171214428,2.13760326,0.100352152
1006 Ocean View Ave,Daly City,CA,94014,37.702354,-122.45949,3,2213,1249000,0.579159408,1.473643721,0.14643871
5701 Ayala Ave,Oakland,CA,94609,37.842781,-122.259427,0,2426,1120000,0.459646844,2.077646456,0.111293417
950 Tennessee St # 110,San Francisco,CA,94107,37.759747,-122.389882,2,1160,1430000,0.232105237,0.802288023,0.111293417
2056 Asilomar Dr,Oakland,CA,94611,37.829582,-122.20334,3,1888,779000,0.914361665,1.583548617,0.290452955
3979 3981 24th St,San Francisco,CA,94114,37.751216,-122.431311,2,6000,3950000,0.705990935,0.057053681,0.342253976
1621 Ocean View Ave,Kensington,CA,94707,37.899536,-122.285399,3,1124,899000,0.769764536,1.207217391,0.349002166
5306 San Pablo Ave,Oakland,CA,94608,37.837269,-122.281938,4,3209,1799000,0.992147838,1.734343228,0.260476383
734 14th Street Condominiums,San Francisco,CA,94114,37.767911,-122.429697,2,707,875000,0.581008259,0.14382492,0.223260112
1525 Glenn St,Hayward,CA,94545,37.649561,-122.116153,3,1546,750000,1.035847531,1.104537057,0.12525545
325 Dutton Ave,San Leandro,CA,94577,37.732311,-122.155557,4,2743,1199000,0.77300204,1.270329704,0.16389033
291 Palisades Dr,Daly City,CA,94015,37.688489,-122.491865,2,1090,974950,1.169911019,1.463925043,0.197759889
33 Harbor View Dr,Richmond,CA,94804,37.907921,-122.348168,3,1695,1100000,1.180109211,1.5744371,0.186699907
2124 7th St,Berkeley,CA,94710,37.865958,-122.29622,2,1213,1054000,0.91595029,1.786487785,0.197632354
4395 24th St,San Francisco,CA,94114,37.750778,-122.44038,3,1505,1650000,1.181926071,0.525659251,0.21513203
1340 Ashby Ave,Berkeley,CA,94702,37.852759,-122.282385,2,1254,499500,0.679670819,1.415270204,0.123749389
785 Taft Ave APT 8,Albany,CA,94706,37.893397,-122.303594,2,830,605000,0.686932919,1.471404743,0.114467526
919 46th St,Oakland,CA,94608,37.835096,-122.273874,2,1052,649000,0.559814949,1.697000148,0.183938418
785 Taft Ave APT 3,Albany,CA,94706,37.893397,-122.303594,1,620,449000,0.686932919,1.87818938,0.114467526
66 Hillcrest Rd,Berkeley,CA,94705,37.851662,-122.247868,6,5784,3800000,0.518030775,2.036771763,0.227481229
1049 Ordway St,Albany,CA,94706,37.884637,-122.284997,4,2041,1325000,0.722484554,2.044644471,0.13288027
4918 Webster St,Oakland,CA,94609,37.835838,-122.259456,3,1760,1295000,0.625391302,1.59786625,0.13288027
77 Fairmount Ave APT 302,Oakland,CA,94611,37.815889,-122.260382,2,1159,699000,0.659275347,0.218432887,0.227481229
950 Tennessee St # 108,San Francisco,CA,94107,37.759747,-122.389882,1,776,923000,0.232105237,0.802288023,0.235181611
950 Tennessee St # 323,San Francisco,CA,94107,37.759747,-122.389882,0,422,700000,0.232105237,0.802288023,0.235215669
1230 Shafter Ave,San Francisco,CA,94124,37.727348,-122.383682,2,1012,799000,0.755597029,1.583548617,0.245789618
568 9th St,Oakland,CA,94607,37.802394,-122.276128,3,1418,995000,0.610251387,1.094783101,0.08430909
1641 Grand Ave,Piedmont,CA,94611,37.82589,-122.243592,4,2186,1195000,0.703889656,1.314596848,0.174308722
950 Tennessee St # 317,San Francisco,CA,94107,37.759747,-122.389882,0,431,664000,0.232105237,0.802288023,0.250189166
140 S Van Ness Ave UNIT 711,San Francisco,CA,94103,37.771563,-122.418801,1,795,799000,0.431293088,0.506463643,0.250189166
3620 Allendale Ave,Oakland,CA,94619,37.788038,-122.207317,2,748,380000,0.619985697,0.98004218,0.184549902
709 San Bruno Ave,San Francisco,CA,94107,37.760466,-122.404753,3,1700,1595000,0.682374786,0.289039075,0.253035646
26 Bernice St,San Francisco,CA,94103,37.769958,-122.414186,2,891,704442,0.43363158,0.706651309,0.260476383
1274A Delaware St,Berkeley,CA,94702,37.871917,-122.287463,1,600,685000,0.285640229,0.716196819,0.11213258
612 Bridgeport Ln,Foster City,CA,94404,37.545298,-122.269178,2,1710,1799000,0.665640269,1.109699964,0.134731153
708 Long Bridge St APT 1010,San Francisco,CA,94158,37.77171,-122.393708,2,1452,2000000,0.348712862,0.723842094,0.247652848
1525 Latitudes Way,Richmond,CA,94804,37.9136,-122.3463,2,1713,748990,0.878196237,0.739474048,0.097653683
1120 Addison St,Berkeley,CA,94702,37.868076,-122.29063,3,1252,599000,0.591729278,1.237397376,0.133241472
2511 Outrigger Dr # 108,San Leandro,CA,94577,37.691708,-122.179284,2,1033,495000,0.94097324,1.308609645,0.227979813
2361 E 22nd St,Oakland,CA,94601,37.788412,-122.229788,0,2156,749000,0.922727566,1.33950158,0.230703868
